"","ID","Intensity","BP0","BP1","Omaxe","Pmaxe","Equation","Q0d","K","Alpha","R2","Q0se","Alphase","N","AbsSS","SdRes","Q0Low","Q0High","AlphaLow","AlphaHigh","EV","Omaxd","Pmaxd","Notes"
"939","939",8.47912929664971,NA,17,41.4522196144568,6,"hs",15.7569396174637,2.28205645364602,0.00339050245095129,0.711696915549237,7.23645081804502,0.000674933730102895,16,1.1170972831564,0.282475951334976,0.236296235148792,31.2775829997785,0.00194291357139989,0.00483809133050269,0.855551902969729,23.0693685907957,4.5577340963297,"converged"
"940","940",8.86350306217785,NA,17,40.3560070097664,7,"hs",9.44876572059476,1.59593285540106,0.00553749600516144,0.652194165101349,3.42936482995292,0.000749945136046067,15,0.645075594260663,0.222758163842568,2.04007343038863,16.8574580108009,0.00391733803918079,0.00715765397114209,0.895704282487827,21.4926307466661,7.41742326429561,"converged"
"941","941",9.59158517944539,NA,17,54.5218147907602,8,"hs",9.95518640344672,2.49424188596324,0.00356354225552454,0.492417504019337,5.21852977453146,0.000787403014009411,16,1.82065708529278,0.360620208340811,-1.23744678747106,21.1478195943645,0.0018747307530508,0.00525235375799828,0.712377567045192,19.8619222622638,6.13271592357736,"converged"
"942","942",10.3273199157842,NA,17,31.9647238449229,14,"hs",11.6520567085864,1.90105665474704,0.00471133874407,0.792508292124272,3.51549535818251,0.000522599387490215,17,0.509767318164536,0.184348821199474,4.15895572497075,19.145157692202,0.00359744451709416,0.00582523297104584,0.80977260317232,20.4864951192754,5.61381022163812,"converged"
"943","943",7.31356226391357,NA,16,46.5914861954701,12,"hs",16.9104717969857,2.44450208401593,0.00306474059847457,0.622416525991255,9.6092586287421,0.000789014840810129,16,1.71597161340742,0.35009913018697,-3.69933819069958,37.5202817846711,0.00137247207133542,0.00475700912561372,0.853730231973584,23.6205541418555,4.3058592451933,"converged"
"944","944",5.04169771415442,NA,15,32.7009107839378,14,"hs",6.87918188068095,1.50411423071091,0.00571779830176319,0.532843076483319,2.02078509942037,0.000861699571166252,15,0.479634511455549,0.192080614377552,2.51354109044612,11.2448226709158,0.00385620955692819,0.00757938704659819,0.948090813113273,22.3965731493623,10.6788874409545,"converged"
"945","945",5.81751583445184,NA,17,50.6806167844974,9,"hs",11.1605138201136,1.98003784851785,0.00439166985643806,0.699650930506871,4.10827161775607,0.000610515682978688,16,0.750790199535027,0.231576923278981,2.34914754399988,19.9718800962274,0.00308224394682033,0.0057010957660558,0.817259688052705,20.9578902930108,5.96325431299631,"converged"
"946","946",7.87801878935439,NA,17,28.3578034559722,8,"hs",13.876691896241,1.88490465244502,0.00504995093760233,0.803626722999831,5.08137922045313,0.000668919570244123,16,0.547246997174422,0.197709562810564,2.97821738795101,24.7751664045311,0.00361526114805504,0.00648464072714962,0.765206695874581,19.3051619854078,4.44701600934106,"converged"
"947","947",7.83632491572128,NA,16,45.4157044454263,7,"hs",14.1445612915195,3.27407331831198,0.00254604837498422,0.446726616708805,11.0258485103304,0.00103626993473084,15,3.44937809713654,0.51510850963929,-9.67533624110531,37.9644588241444,0.000307323288356972,0.00478477346161147,0.662980489681295,20.6231000871937,4.32039555303046,"converged"
"948","948",7.41797388124614,NA,17,37.6594216364065,9,"hs",14.4243638885878,3.16219065453408,0.00312918136529595,0.564184821795315,10.5168130951887,0.00124939945417637,17,3.4265885218867,0.477953172175316,-7.99169260388931,36.8404203810649,0.0004661494664691,0.00579221326412279,0.568312473857005,17.4240095151286,3.59505237588499,"converged"
